02:15:38.732 setup problem!
02:16:08.001 0.34345138 2.0284235 1.0400306
02:16:31.700 0.25867152 2.0284808 0.99012893
02:16:54.756 0.25867152 2.0285094 0.9300081
02:17:11.905 0.25867152 2.0285094 0.8408623
02:17:25.822 0.20950538 2.0285094 0.72488636
02:17:40.965 0.20950538 2.0285094 0.6384409
02:17:55.955 0.20494972 2.029938 0.60391545
02:18:15.449 0.1973219 2.029938 0.5774824
02:18:36.150 0.1972362 2.029938 0.5289376
02:19:04.138 0.19720763 2.029938 0.44993216
02:19:22.007 0.19117436 2.029938 0.43783948
02:19:40.368 0.18834157 2.029938 0.40164426
02:19:58.381 0.18834157 2.029938 0.41392466
02:20:14.354 0.18834157 2.029938 0.42088637
02:20:30.798 0.050333187 2.029938 0.4275022
02:20:47.159 0.049733188 2.029938 0.4199511
02:21:06.188 0.049733188 2.029938 0.42349213
02:21:23.333 0.049733188 2.029938 0.3988552
02:21:41.815 0.049733188 2.029938 0.40148157
02:21:59.006 0.049733188 2.029938 0.4186764
02:22:17.968 0.03910566 2.029938 0.38693166
02:22:38.305 0.036337793 2.029938 0.386591
02:22:57.004 0.03323248 2.029938 0.40475476
02:23:15.266 0.032946765 2.029938 0.40920284
02:23:34.452 0.030765308 2.029938 0.39449587
02:23:52.375 0.016131816 2.029938 0.3407776
02:24:09.147 0.015674673 2.029938 0.30500507
02:24:24.750 0.014617531 2.029938 0.2945768
02:24:44.146 0.014617531 2.029938 0.2507466
02:25:01.850 0.013749834 2.029938 0.25504217
02:25:19.397 0.013749834 2.029938 0.30297345
02:25:36.141 0.013749834 2.029938 0.32264683
02:25:54.804 0.012989234 2.029938 0.33262572
02:26:12.541 0.012932092 2.029938 0.36622122
02:26:29.186 0.008959874 2.029938 0.38715017
02:26:46.107 0.008959874 2.029938 0.44563353
02:27:03.079 0.008759873 2.029938 0.42315584
02:27:20.361 0.008759873 2.029938 0.38391703
02:27:36.675 0.008274159 2.029938 0.37089422
02:27:51.565 0.008159873 2.029938 0.29550672
02:28:07.394 0.008131302 2.029938 0.30367228
02:28:23.392 0.008074159 2.029938 0.32980913
02:28:38.493 0.0079884445 2.029938 0.34304488
02:28:55.445 0.007931302 2.029938 0.37564978
02:29:12.186 0.007274159 2.029938 0.39648935
02:29:29.289 0.007274159 2.029938 0.41349444
