19:53:37.575 setup problem!
19:54:06.269 0.27019778 2.027795 1.044736
19:54:29.110 0.26959804 2.028538 0.9750866
19:54:52.308 0.26959804 2.0286236 0.8964308
19:55:08.502 0.26959804 2.0286236 0.8266819
19:55:22.320 0.21083891 2.0286236 0.70042104
19:55:30.158 0.21083891 2.0286236 0.6543221
19:55:37.530 0.20950538 2.0286236 0.59546936
19:55:49.808 0.20950538 2.0286236 0.60788023
19:56:08.718 0.20134783 2.0286236 0.56669474
19:56:24.166 0.20134783 2.0286236 0.4907767
19:56:40.734 0.18986303 2.0286236 0.49269316
19:56:55.332 0.18986303 2.0286236 0.5186275
19:57:05.458 0.18986303 2.0286236 0.5232438
19:57:16.618 0.18986303 2.0286236 0.5281814
19:57:21.018 0.18986303 2.0286236 0.52780914
19:57:23.368 0.18127236 2.0286236 0.51625454
19:57:24.496 0.18127236 2.0286236 0.4927843
19:57:25.998 0.18127236 2.0286236 0.5319659
19:57:28.392 0.1701087 2.0286236 0.52712095
19:57:33.566 0.1701087 2.0286236 0.5205388
19:57:43.252 0.1701087 2.0286236 0.5368832
19:57:58.649 0.1701087 2.0286236 0.5008355
19:58:11.166 0.1701087 2.0286236 0.50490683
19:58:17.763 0.1701087 2.0286236 0.5336159
19:58:19.365 0.1701087 2.0286236 0.499109
19:58:20.147 0.1701087 2.0286236 0.5040965
19:58:20.370 0.1701087 2.0286236 0.5356514
19:58:20.669 0.1701087 2.0286236 0.54359823
19:58:20.800 0.1701087 2.0286236 0.52461714
19:58:20.961 0.1701087 2.0286236 0.5483852
19:58:21.189 0.1701087 2.0286236 0.5126728
19:58:21.423 0.1701087 2.0286236 0.5252694
19:58:21.722 0.1701087 2.0286236 0.5132625
19:58:21.764 0.1701087 2.0286236 0.52459675
19:58:22.131 0.1701087 2.0286236 0.52828157
19:58:22.244 0.1701087 2.0286236 0.5041154
19:58:22.366 0.1701087 2.0286236 0.5221642
19:58:22.413 0.1701087 2.0286236 0.5203803
19:58:22.476 0.1701087 2.0286236 0.5116968
19:58:22.611 0.1701087 2.0286236 0.51031464
19:58:22.652 0.1701087 2.0286236 0.5272623
19:58:22.711 0.1701087 2.0286236 0.52500004
19:58:22.846 0.1701087 2.0286236 0.5220293
19:58:22.907 0.1701087 2.0286236 0.5104602
19:58:23.097 0.1701087 2.0286236 0.5233678
19:58:23.151 0.1701087 2.0286236 0.55362916
19:58:23.205 0.1701087 2.0286236 0.52375543
19:58:23.256 0.1701087 2.0286236 0.51103777
19:58:23.313 0.1701087 2.0286236 0.5031922
19:58:23.365 0.1701087 2.0286236 0.4875601
19:58:23.414 0.1701087 2.0286236 0.51151294
19:58:23.464 0.1701087 2.0286236 0.5335086
19:58:23.520 0.1701087 2.0286236 0.5335665
19:58:23.566 0.1701087 2.0286236 0.51810384
19:58:23.635 0.1701087 2.0286236 0.49994838
19:58:23.701 0.1701087 2.0286236 0.49184555
19:58:23.770 0.1701087 2.0286236 0.5180777
19:58:23.835 0.1701087 2.0286236 0.5036503
19:58:23.883 0.1701087 2.0286236 0.508778
19:58:23.926 0.1701087 2.0286236 0.5339767
19:58:23.985 0.1701087 2.0286236 0.5336334
19:58:24.031 0.1701087 2.0286236 0.5072354
19:58:24.081 0.1701087 2.0286236 0.5150089
19:58:24.129 0.1701087 2.0286236 0.50432956
19:58:24.192 0.1701087 2.0286236 0.49331653
19:58:24.239 0.1701087 2.0286236 0.5065921
19:58:24.299 0.1701087 2.0286236 0.48944378
19:58:24.365 0.1701087 2.0286236 0.51360863
19:58:24.417 0.1701087 2.0286236 0.4909731
19:58:24.468 0.1701087 2.0286236 0.5027209
19:58:24.523 0.1701087 2.0286236 0.499128
19:58:24.572 0.1701087 2.0286236 0.49664298
19:58:24.625 0.1701087 2.0286236 0.50608474
19:58:24.671 0.1701087 2.0286236 0.48317024
19:58:24.717 0.1701087 2.0286236 0.4992488
19:58:24.790 0.1701087 2.0286236 0.5141157
19:58:24.842 0.1701087 2.0286236 0.48858505
19:58:24.900 0.1701087 2.0286236 0.49084944
19:58:24.961 0.1701087 2.0286236 0.527939
19:58:25.014 0.1701087 2.0286236 0.50628805
19:58:25.065 0.1701087 2.0286236 0.47464606
19:58:25.121 0.1701087 2.0286236 0.51429653
19:58:25.165 0.1701087 2.0286236 0.4980025
19:58:25.216 0.1701087 2.0286236 0.4887731
19:58:25.265 0.1701087 2.0286236 0.5345551
19:58:25.314 0.1701087 2.0286236 0.52479035
19:58:25.360 0.1701087 2.0286236 0.5149605
19:58:25.405 0.1701087 2.0286236 0.485368
19:58:25.465 0.1701087 2.0286236 0.49456683
19:58:25.510 0.1701087 2.0286236 0.46922016
19:58:25.564 0.1701087 2.0286236 0.5063637
19:58:25.618 0.1701087 2.0286236 0.5180663
19:58:25.667 0.1701087 2.0286236 0.4954301
19:58:25.710 0.1701087 2.0286236 0.48914543
19:58:25.757 0.1701087 2.0286236 0.49143845
19:58:25.804 0.1701087 2.0286236 0.52362317
19:58:25.861 0.1701087 2.0286236 0.5275173
19:58:25.909 0.1701087 2.0286236 0.49228796
19:58:25.960 0.1701087 2.0286236 0.5270572
19:58:26.011 0.1701087 2.0286236 0.5146825
19:58:27.172 setup problem!
19:58:55.880 0.35124668 1.9212507 1.0297623
19:59:17.781 0.30663118 2.028538 0.9869828
19:59:36.365 0.30663118 2.028595 0.9383965
19:59:55.448 0.30663118 2.028595 0.88959146
20:00:11.053 0.30663118 2.028595 0.8117673
20:00:18.642 0.30663118 2.028595 0.71264935
20:00:21.746 0.21881688 2.028595 0.5576027
20:00:23.744 0.21218176 2.028595 0.49383286
20:00:28.169 0.21161033 2.028595 0.48437724
20:00:40.286 0.20950538 2.028595 0.43551382
20:01:01.049 0.20950538 2.028595 0.42044675
20:01:19.152 0.20950538 2.028595 0.37094155
20:01:37.384 0.20950538 2.028595 0.38707274
20:01:54.912 0.20842128 2.028595 0.4113574
20:02:12.953 0.20842128 2.028595 0.41031379
20:02:30.592 0.20842128 2.028595 0.42388847
20:02:46.945 0.20842128 2.028595 0.42412934
20:03:04.105 0.20180304 2.028595 0.41027555
20:03:21.052 0.20088875 2.028595 0.42940804
20:03:37.729 0.20088875 2.0287094 0.41715896
20:03:54.155 0.20088875 2.0287094 0.42135918
20:04:11.047 0.20076671 2.0287094 0.42003223
20:04:28.074 0.20013815 2.0287094 0.42067474
20:04:44.614 0.20013815 2.0287094 0.40564436
20:05:00.446 0.19700697 2.0287094 0.42787662
20:05:16.330 0.19694984 2.0287094 0.4408759
20:05:31.237 0.19623555 2.0287094 0.42909914
20:05:44.976 0.1927312 2.0287094 0.45858687
20:06:00.775 0.1927312 2.0287094 0.46779436
20:06:16.018 0.1927312 2.0287094 0.45032042
20:06:33.029 0.1927312 2.0287094 0.43811065
20:06:47.883 0.1927312 2.0287094 0.43517137
20:07:03.311 0.1926581 2.0287094 0.4684567
20:07:16.942 0.1926581 2.0287094 0.4861543
20:07:30.029 0.1926581 2.0287094 0.5027545
20:07:44.660 0.1926581 2.0287094 0.49269974
20:07:58.843 0.18127236 2.0287094 0.49869928
20:08:13.049 0.18127236 2.0287094 0.50018036
20:08:26.477 0.18127236 2.0287094 0.5258211
20:08:40.798 0.18127236 2.0287094 0.48991898
20:08:54.102 0.18127236 2.0287094 0.49123365
20:09:09.335 0.18127236 2.0287094 0.48490232
20:09:24.647 0.1794001 2.0287094 0.47579482
20:09:39.601 0.1794001 2.0287094 0.45215932
20:09:55.160 0.1794001 2.0287094 0.46412557
20:10:11.802 0.1794001 2.0287094 0.4457183
