11:13:47.729 setup problem!
11:15:03.551 0.22848828 1.0 0.9532892
11:15:52.036 0.22845191 1.0 0.8391333
11:16:51.218 0.22845191 1.0 0.6982197
11:17:54.563 0.20284554 1.0 0.6122766
11:18:58.908 0.20284554 1.0 0.53541857
11:19:46.132 0.20277281 1.0 0.4996561
11:20:14.442 0.202191 1.0 0.4612547
11:20:41.743 0.202191 1.0 0.45804158
11:21:10.624 0.202191 1.0 0.43299523
11:21:23.777 0.1943003 1.0 0.41472626
11:21:29.760 0.1943003 1.0 0.3779178
11:21:34.256 0.1943003 1.0 0.33755475
11:21:43.134 0.1943003 1.0 0.33551964
11:22:07.596 0.19182447 1.0 0.33458117
11:22:47.747 0.19182447 1.0 0.35358173
11:23:38.288 0.19090961 1.0 0.40351334
11:24:25.717 0.18898207 1.0 0.42271766
11:25:14.755 0.18898207 1.0 0.4059599
11:26:10.004 0.18898207 1.0 0.4254939
11:27:04.799 0.18898207 1.0 0.41436493
11:27:59.653 0.18898207 1.0 0.40442765
11:28:55.022 0.18898207 1.0 0.4284936
11:29:46.182 0.18898207 1.0 0.43978843
11:30:33.673 0.18898207 1.0 0.44618472
11:31:16.805 0.18898207 1.0 0.42961547
11:32:00.150 0.18779945 1.0 0.46662068
11:32:45.664 0.18779945 1.0 0.45105976
11:33:30.623 0.18779945 1.0 0.44009542
11:34:10.926 0.18779945 1.0 0.45423135
11:34:53.785 0.18779945 1.0 0.46502614
11:35:36.341 0.18779945 1.0 0.4693041
11:36:16.313 0.18779945 1.0 0.4562278
11:37:06.143 0.18779945 1.0 0.46415532
11:37:49.216 0.18779945 1.0 0.46528408
11:38:35.601 0.18779945 1.0 0.46095696
11:39:17.139 0.18779945 1.0 0.46118215
11:39:59.443 0.18779945 1.0 0.43120575
11:40:41.123 0.18779945 1.0 0.45758164
11:41:24.929 0.18779945 1.0 0.46928215
11:42:06.615 0.18779945 1.0 0.4459942
11:42:51.619 0.18779945 1.0 0.46406335
11:43:32.200 0.18779945 1.0 0.45691907
11:44:20.819 0.18779945 1.0 0.44862336
11:45:00.904 0.18779945 1.0 0.44361174
11:45:42.876 0.18650714 1.0 0.4369847
12:03:46.184 0.18650714 1.0 0.46327305
12:04:25.575 0.18650714 1.0 0.42782018
12:05:07.679 0.18650714 1.0 0.44117236
12:05:48.557 0.18650714 1.0 0.44806316
12:06:30.666 0.18650714 1.0 0.41657457
12:06:33.736 setup problem!
12:07:51.152 0.25571835 1.0 0.9437049
12:08:45.987 0.23250084 1.0 0.8109314
12:09:42.429 0.22823374 1.0 0.66916525
12:10:36.246 0.21230473 1.0 0.58217597
12:11:22.783 0.20964877 1.0 0.5056343
12:12:12.477 0.20823586 1.0 0.43176582
12:13:02.904 0.20626384 1.0 0.39688212
12:14:07.852 0.20046067 1.0 0.37773988
12:14:58.009 0.20046067 1.0 0.39076534
12:15:50.026 0.20046067 1.0 0.3705144
12:16:42.364 0.20046067 1.0 0.37224153
12:17:35.760 0.20046067 1.0 0.37889376
12:18:24.496 0.20037608 1.0 0.3847374
12:19:14.828 0.1964193 1.0 0.3803964
12:20:00.793 0.1964193 1.0 0.38806534
12:20:48.444 0.1964193 1.0 0.37975222
12:21:34.193 0.1964193 1.0 0.3803971
12:22:22.062 0.19543153 1.0 0.37747726
12:23:06.555 0.19543153 1.0 0.38782972
12:23:54.435 0.19543153 1.0 0.370937
12:24:40.177 0.19543153 1.0 0.36509997
12:25:24.692 0.19543153 1.0 0.38014057
12:26:11.608 0.19291325 1.0 0.40961257
12:26:57.180 0.19291325 1.0 0.3831202
12:27:41.501 0.19291325 1.0 0.39241973
12:28:28.108 0.19291325 1.0 0.40457946
12:29:13.574 0.18546937 1.0 0.37974277
12:30:00.835 0.18546937 1.0 0.36974716
12:30:48.867 0.18546937 1.0 0.3530429
12:31:35.253 0.18546937 1.0 0.36597207
12:32:19.971 0.18353085 1.0 0.3770358
12:33:06.786 0.18353085 1.0 0.3588503
12:33:55.388 0.18353085 1.0 0.3880274
12:34:41.280 0.18353085 1.0 0.39960188
12:35:27.985 0.18353085 1.0 0.41677248
12:36:11.464 0.18353085 1.0 0.4049175
12:36:58.380 0.18353085 1.0 0.41157758
13:01:03.940 0.18347672 1.0 0.38633007
13:01:51.457 0.1829858 1.0 0.42225373
13:02:36.143 0.1829858 1.0 0.3980175
13:03:24.129 0.1829858 1.0 0.4034626
13:04:13.949 0.1829858 1.0 0.39945596
13:05:00.597 0.1829858 1.0 0.39173016
13:05:45.556 0.1829858 1.0 0.42371982
13:06:31.298 0.1829858 1.0 0.41040537
13:07:16.630 0.1829858 1.0 0.41933212
13:08:02.141 0.1829858 1.0 0.4222356
13:08:46.205 0.1829858 1.0 0.40369803
13:09:29.102 0.1829858 1.0 0.4114835
13:10:13.915 0.1829858 1.0 0.430901
